,Total_Associations,Positive_WithinGenus,Negative_WithinGenus,Positive_WithinFamily,Negative_WithinFamily,Positive_WithinOrder,Negative_WithinOrder,Positive_WithinClass,Negative_WithinClass,Positive_WithinPhylum,Negative_WithinPhylum,Positive_OutsidePhylum,Negative_OutsidePhylum
153,292,12.0,0.0,28,0.0,72,1.0,1.0,1.0,44,3.0,127,3.0
154,292,12.0,0.0,18,2.0,67,2.0,0.0,0.0,52,2.0,135,2.0
155,292,9.0,1.0,21,0.0,75,2.0,0.0,0.0,48,1.0,131,4.0
156,292,10.0,0.0,25,0.0,79,2.0,0.0,0.0,47,3.0,123,3.0
157,292,6.0,0.0,22,0.0,58,3.0,0.0,0.0,41,1.0,157,4.0
158,292,8.0,1.0,25,0.0,60,2.0,0.0,0.0,61,1.0,130,4.0
159,292,6.0,0.0,26,0.0,68,3.0,0.0,0.0,46,4.0,138,1.0
160,292,7.0,0.0,26,0.0,66,2.0,0.0,0.0,42,2.0,143,4.0
161,292,7.0,0.0,27,1.0,83,5.0,0.0,0.0,52,2.0,115,0.0
162,292,7.0,1.0,15,0.0,81,0.0,0.0,0.0,56,1.0,125,6.0
163,292,5.0,0.0,27,0.0,72,2.0,0.0,0.0,57,1.0,123,5.0
164,292,10.0,1.0,20,1.0,65,2.0,0.0,0.0,68,3.0,121,1.0
165,292,8.0,1.0,27,0.0,69,2.0,0.0,0.0,54,0.0,126,5.0
166,292,10.0,1.0,27,1.0,76,1.0,0.0,0.0,44,0.0,127,5.0
167,292,13.0,0.0,21,0.0,70,1.0,0.0,0.0,52,2.0,128,5.0
168,292,8.0,0.0,22,0.0,82,2.0,0.0,0.0,37,0.0,135,6.0
169,292,9.0,0.0,25,0.0,71,5.0,0.0,0.0,37,1.0,142,2.0
170,292,7.0,0.0,17,0.0,77,2.0,0.0,0.0,58,2.0,125,4.0
171,292,11.0,0.0,28,0.0,62,2.0,0.0,0.0,58,2.0,125,4.0
172,292,4.0,0.0,30,2.0,79,1.0,0.0,0.0,56,0.0,115,5.0
173,292,13.0,1.0,21,1.0,75,1.0,1.0,0.0,46,1.0,128,4.0
174,292,9.0,0.0,34,1.0,62,4.0,1.0,0.0,55,1.0,123,2.0
175,292,8.0,0.0,22,0.0,57,1.0,0.0,0.0,57,2.0,140,5.0
176,292,4.0,0.0,23,0.0,71,1.0,0.0,0.0,67,1.0,119,6.0
177,292,9.0,0.0,22,2.0,78,1.0,0.0,0.0,45,0.0,130,5.0
178,292,6.0,0.0,29,1.0,70,5.0,0.0,0.0,50,0.0,129,2.0
179,292,8.0,0.0,21,0.0,67,4.0,0.0,0.0,51,0.0,137,4.0
180,292,11.0,0.0,30,0.0,80,1.0,0.0,0.0,43,1.0,120,6.0
181,292,8.0,0.0,21,1.0,67,2.0,0.0,0.0,56,1.0,132,4.0
182,292,7.0,0.0,18,1.0,91,2.0,0.0,0.0,57,1.0,111,4.0
183,292,12.0,0.0,29,0.0,65,5.0,1.0,0.0,60,2.0,117,1.0
184,292,14.0,1.0,26,0.0,64,1.0,1.0,0.0,50,1.0,129,5.0
185,292,5.0,0.0,22,0.0,69,3.0,1.0,0.0,43,1.0,144,4.0
186,292,6.0,0.0,22,1.0,77,2.0,0.0,0.0,50,1.0,129,4.0
187,292,5.0,0.0,33,1.0,66,1.0,1.0,0.0,43,3.0,136,3.0
188,292,9.0,1.0,27,0.0,75,4.0,0.0,0.0,51,1.0,122,2.0
189,292,6.0,1.0,23,0.0,59,2.0,1.0,0.0,52,1.0,143,4.0
190,292,8.0,0.0,21,0.0,66,4.0,0.0,0.0,56,3.0,133,1.0
191,292,9.0,0.0,17,1.0,53,3.0,0.0,0.0,59,1.0,146,3.0
192,292,4.0,0.0,19,1.0,66,0.0,1.0,0.0,51,2.0,143,5.0
193,292,12.0,0.0,23,0.0,77,2.0,0.0,0.0,41,4.0,131,2.0
194,292,4.0,0.0,27,0.0,80,3.0,0.0,0.0,59,2.0,114,3.0
195,292,7.0,1.0,26,1.0,66,1.0,0.0,0.0,55,2.0,130,3.0
196,292,8.0,0.0,25,1.0,57,1.0,0.0,0.0,56,1.0,138,5.0
197,292,8.0,0.0,25,0.0,74,1.0,0.0,0.0,48,3.0,129,4.0
198,292,9.0,0.0,20,1.0,71,2.0,0.0,0.0,41,1.0,143,4.0
199,292,5.0,0.0,17,0.0,75,3.0,0.0,0.0,52,3.0,135,2.0
200,292,6.0,0.0,23,1.0,88,2.0,1.0,0.0,47,2.0,119,3.0
201,292,7.0,0.0,23,1.0,77,1.0,2.0,0.0,50,0.0,125,6.0
202,292,10.0,1.0,27,0.0,73,0.0,0.0,0.0,61,2.0,113,5.0
203,292,5.0,0.0,24,1.0,84,2.0,0.0,0.0,42,1.0,129,4.0
204,292,9.0,1.0,13,1.0,74,3.0,0.0,0.0,54,0.0,134,3.0
205,292,11.0,0.0,25,1.0,76,0.0,1.0,0.0,56,2.0,115,5.0
206,292,5.0,0.0,24,0.0,70,2.0,0.0,0.0,48,1.0,137,5.0
207,292,10.0,0.0,25,0.0,62,3.0,0.0,0.0,54,2.0,133,3.0
208,292,6.0,1.0,32,0.0,71,0.0,0.0,0.0,36,0.0,139,7.0
209,292,6.0,1.0,27,0.0,74,4.0,0.0,0.0,50,1.0,127,2.0
210,292,7.0,1.0,23,0.0,73,1.0,1.0,0.0,53,1.0,127,5.0
211,292,12.0,0.0,25,1.0,69,1.0,0.0,0.0,55,4.0,123,2.0
212,292,1.0,3.0,25,0.0,78,3.0,0.0,0.0,67,0.0,113,2.0
213,292,7.0,0.0,18,4.0,70,0.0,0.0,0.0,61,1.0,128,3.0
214,292,6.0,0.0,24,0.0,74,2.0,0.0,0.0,52,3.0,128,3.0
215,292,11.0,0.0,30,0.0,81,5.0,0.0,0.0,43,0.0,119,3.0
216,292,3.0,0.0,34,0.0,73,4.0,0.0,0.0,56,3.0,118,1.0
217,292,9.0,0.0,27,1.0,74,4.0,0.0,0.0,38,1.0,136,2.0
218,292,10.0,0.0,30,0.0,64,2.0,0.0,0.0,50,4.0,130,2.0
219,292,17.0,0.0,29,2.0,59,2.0,2.0,0.0,56,0.0,121,4.0
220,292,9.0,0.0,31,0.0,70,1.0,1.0,0.0,48,0.0,125,7.0
221,292,7.0,0.0,25,0.0,72,1.0,0.0,0.0,44,2.0,136,5.0
222,292,7.0,0.0,20,1.0,69,0.0,0.0,0.0,50,1.0,138,6.0
223,292,5.0,1.0,27,0.0,79,1.0,0.0,0.0,48,3.0,125,3.0
224,292,7.0,1.0,26,3.0,66,0.0,0.0,0.0,54,1.0,131,3.0
225,292,8.0,0.0,24,0.0,79,2.0,1.0,0.0,53,3.0,119,3.0
226,292,5.0,0.0,28,2.0,80,0.0,0.0,0.0,49,2.0,122,4.0
227,292,11.0,0.0,26,0.0,74,3.0,0.0,0.0,52,1.0,121,4.0
228,292,7.0,0.0,26,0.0,82,1.0,2.0,0.0,52,3.0,115,4.0
229,292,9.0,0.0,25,0.0,65,3.0,0.0,0.0,58,0.0,127,5.0
230,292,8.0,0.0,29,3.0,68,0.0,0.0,0.0,43,2.0,136,3.0
231,292,11.0,0.0,24,1.0,75,1.0,0.0,0.0,49,2.0,125,4.0
232,292,8.0,0.0,20,0.0,59,5.0,0.0,0.0,52,0.0,145,3.0
233,292,4.0,1.0,16,0.0,79,2.0,0.0,0.0,46,2.0,139,3.0
234,292,7.0,0.0,20,0.0,62,4.0,0.0,0.0,56,1.0,139,3.0
235,292,11.0,2.0,19,0.0,76,3.0,0.0,0.0,52,2.0,126,1.0
236,292,6.0,0.0,19,4.0,78,1.0,1.0,0.0,52,1.0,128,2.0
237,292,10.0,0.0,33,0.0,59,1.0,0.0,0.0,52,1.0,130,6.0
238,292,10.0,0.0,22,1.0,88,3.0,1.0,0.0,40,1.0,123,3.0
239,292,9.0,0.0,21,2.0,83,2.0,0.0,0.0,43,1.0,128,3.0
240,292,3.0,0.0,25,0.0,60,2.0,0.0,0.0,64,2.0,132,4.0
241,292,15.0,1.0,26,2.0,70,2.0,0.0,0.0,44,0.0,129,3.0
242,292,6.0,0.0,24,0.0,77,1.0,0.0,0.0,57,3.0,120,4.0
243,292,8.0,1.0,25,1.0,83,1.0,0.0,0.0,47,1.0,121,4.0
244,292,8.0,0.0,29,0.0,74,2.0,0.0,0.0,55,2.0,118,4.0
245,292,9.0,0.0,19,0.0,82,1.0,0.0,0.0,60,3.0,114,4.0
246,292,7.0,2.0,26,1.0,77,2.0,0.0,0.0,49,0.0,125,3.0
247,292,6.0,0.0,25,0.0,75,0.0,0.0,0.0,53,0.0,125,8.0
248,292,15.0,0.0,21,0.0,78,1.0,0.0,0.0,47,1.0,123,6.0
249,292,8.0,0.0,22,1.0,70,3.0,0.0,0.0,51,0.0,133,4.0
250,292,7.0,0.0,23,1.0,69,0.0,0.0,0.0,49,5.0,136,2.0
251,292,7.0,0.0,26,0.0,83,4.0,0.0,0.0,46,1.0,122,3.0
252,292,8.0,0.0,24,1.0,77,4.0,0.0,0.0,56,0.0,119,3.0
253,292,7.0,1.0,40,0.0,70,0.0,1.0,0.0,51,2.0,115,5.0
254,292,3.0,0.0,23,2.0,87,1.0,0.0,0.0,59,1.0,112,4.0
255,292,10.0,0.0,24,0.0,60,3.0,1.0,0.0,52,2.0,137,3.0
256,292,6.0,0.0,19,0.0,77,3.0,1.0,0.0,56,1.0,125,4.0
257,292,9.0,0.0,26,3.0,70,2.0,0.0,0.0,47,0.0,132,3.0
258,292,10.0,0.0,24,3.0,79,3.0,0.0,0.0,49,0.0,122,2.0
259,292,9.0,0.0,31,1.0,83,1.0,0.0,0.0,43,1.0,118,5.0
260,292,11.0,0.0,30,1.0,76,0.0,0.0,0.0,44,0.0,123,7.0
261,292,13.0,0.0,24,1.0,74,0.0,0.0,0.0,53,2.0,120,5.0
262,292,8.0,0.0,25,0.0,85,2.0,0.0,0.0,43,2.0,123,4.0
263,292,11.0,1.0,27,0.0,64,0.0,0.0,0.0,47,0.0,135,7.0
264,292,7.0,0.0,20,0.0,89,2.0,1.0,0.0,49,0.0,118,6.0
265,292,9.0,0.0,26,1.0,68,2.0,0.0,0.0,48,0.0,133,5.0
266,292,6.0,0.0,32,0.0,66,2.0,0.0,0.0,50,1.0,130,5.0
267,292,8.0,1.0,24,2.0,87,2.0,1.0,0.0,45,2.0,119,1.0
