Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Bifidobacterium_catenulatum,0.0009287677055822084,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Mordavella_sp_Marseille-P3756,0.0003332143759798185,2,2,0,0,0.012195121951219513,0.0,22.64841269841268,0.008080203501421516,Healthy
Hespellia_stercorisuis,0.00010754288150279905,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Bacteroides_salyersiae,0.0030043546354466925,6,6,0,8,0.03658536585365854,0.5333333333333333,36.81309523809524,0.008617491876085721,Healthy
Clostridium_sporogenes,0.001573301411814408,1,1,0,0,0.006097560975609756,0.0,17.872330447330434,0.0,Healthy
Butyricimonas_faecalis,0.001702380866075504,8,7,1,3,0.04878048780487805,0.10714285714285714,37.85039682539682,0.048482924475898914,Healthy
Alistipes_senegalensis,0.0006885092766008475,3,3,0,0,0.01829268292682927,0.0,21.12424242424239,0.0160855903037558,Healthy
Roseburia_intestinalis,0.008166019263837943,3,2,1,1,0.01829268292682927,0.3333333333333333,35.820238095238075,0.02356269928917284,Healthy
Streptococcus_anginosus,8.864238059484435e-05,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Ruminococcus_faecis,0.005674441369274256,1,1,0,0,0.006097560975609756,0.0,20.990873015872985,0.0,Healthy
Faecalicatena_contorta,0.0003256422702030103,4,4,0,6,0.024390243902439025,1.0,32.83809523809525,0.0,Healthy
Emergencia_timonensis,0.00036304716619814435,6,6,0,12,0.03658536585365854,0.8,36.503571428571426,0.0003456299721398289,Healthy
Clostridium_symbiosum,0.0009595582293607348,7,7,0,8,0.042682926829268296,0.38095238095238093,35.17380952380948,0.007995907875043503,Healthy
Holdemanella_biformis,0.0027953536458207896,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Clostridium_leptum,0.0021243002433965815,3,1,2,1,0.01829268292682927,0.3333333333333333,35.135714285714265,0.0036550855112039795,Healthy
Alistipes_putredinis,0.01508705871886101,1,1,0,0,0.006097560975609756,0.0,17.192182817182807,0.0,Healthy
Oscillibacter_sp_PEA192,0.004543980803388309,11,10,1,20,0.06707317073170732,0.36363636363636365,42.90238095238097,0.06790213517332426,Healthy
Faecalitalea_cylindroides,0.0007709339485477477,1,1,0,0,0.006097560975609756,0.0,1.0,0.0,Healthy
Roseburia_inulinivorans,0.013648086305135,1,1,0,0,0.006097560975609756,0.0,23.064682539682536,0.0,Healthy
Pseudoflavonifractor_capillosus,0.0006673091872554831,13,13,0,36,0.07926829268292683,0.46153846153846156,42.786904761904765,0.014392710428376624,Healthy
Fusicatenibacter_saccharivorans,0.009719721681735771,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Granulicatella_adiacens,0.0001511911201668252,3,3,0,1,0.01829268292682927,0.3333333333333333,24.64642857142857,0.03142301361663923,Healthy
Dorea_formicigenerans,0.002929359767972312,3,3,0,0,0.01829268292682927,0.0,26.72698412698412,0.0160855903037558,Healthy
Bacteroides_caccae,0.006218206093109293,1,1,0,0,0.006097560975609756,0.0,22.813131313131304,0.0,Healthy
Coprobacter_fastidiosus,0.0012835643895454188,1,1,0,0,0.006097560975609756,0.0,22.996825396825386,0.0,Healthy
Parabacteroides_sp_CT06,0.014168201524137341,2,2,0,1,0.012195121951219513,1.0,26.341666666666658,0.0,Healthy
Dialister_pneumosintes,4.656938111831588e-05,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Butyricicoccus_pullicaecorum,0.00037822764291635885,2,2,0,1,0.012195121951219513,1.0,30.540873015873018,0.0,Healthy
Eubacterium_rectale,0.021081012448368866,1,1,0,0,0.006097560975609756,0.0,23.064682539682536,0.0,Healthy
Collinsella_aerofaciens,0.008410383542456485,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Negativibacillus_massiliensis,0.002352085701830235,7,7,0,17,0.042682926829268296,0.8095238095238095,38.820238095238096,0.0016093201430812268,Healthy
Provencibacterium_massiliense,0.00020494523750147497,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Anaerotignum_neopropionicum,5.661144128889713e-05,1,0,1,0,0.006097560975609756,0.0,25.86865079365078,0.0,Healthy
